drug,uses
amoxycillin + clavulanic acid,Treatment of Bacterial infections
lidocaine + metronidazole + sucralfate,Treatment of Anal fissure
nitroglycerin,Treatment of Angina (heart-related chest pain)
moxifloxacin,Treatment of Bacterial eye infections
acyclovir, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
acyclovir, Herpes labialis
pheniramine,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
azithromycin,Treatment of Bacterial infections
aceclofenac + paracetamol, Pain relief
acenocoumarol,Treatment and prevention of Blood clots
cetirizine,Treatment of Allergic conditions
atorvastatin, High cholesterolPrevention of Heart attack
azithromycin,Treatment of Bacterial infections
atorvastatin, High cholesterolPrevention of Heart attack
ciprofloxacin + dexamethasone,Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation
furosemide + amiloride,Treatment of Edema
ranitidine,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
amoxycillin + clavulanic acid,Treatment of Bacterial infections
guaifenesin + terbutaline + bromhexine,Treatment of Cough with mucus
atorvastatin, High cholesterolPrevention of Heart attack
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
donepezil + memantine, Alzheimer's disease
glimepiride,Treatment of Type 2 diabetes mellitus
carboxymethylcellulose,Treatment of Dry eyes
aceclofenac + paracetamol + chlorzoxazone,Treatment of Muscular pain
hydroxyzine,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
paracetamol + paracetamol, Pain relief Fever
fluticasone furoate,Treatment of Sneezing and runny nose due to allergies
acebrophylline + acetylcysteine,Treatment of Chronic obstructive pulmonary disease (COPD)
aceclofenac + paracetamol, Pain relief
spironolactone, Hypertension (high blood pressure) Edema Low potassium Heart failure
cetirizine,Treatment of Allergic conditions
levosalbutamol + beclometasone, Asthma
aceclofenac + paracetamol + serratiopeptidase, Pain relief
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
fluticasone propionate + azelastine,Treatment of Sneezing and runny nose due to allergies
aceclofenac + paracetamol, Pain relief
oseltamivir phosphate,Treatment of Influenza (flu)
amoxycillin + clavulanic acid,Treatment of Bacterial infections
memantine, Alzheimer's disease
sacubitril + valsartan,Treatment of Heart failure
cetirizine + phenylephrine,Treatment of Sneezing and runny nose due to allergies
diosmin + hesperidin, Varicose veins
cetirizine + phenylephrine,Treatment of Sneezing and runny nose due to allergies
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
acenocoumarol,Treatment and prevention of Blood clots
fluconazole,Treatment of Fungal infections
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
azithromycin,Treatment of Bacterial infections
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
fluconazole,Treatment of Fungal infections
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
moxifloxacin + prednisolone,Treatment of Bacterial infections
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
amantadine,Treatment of Parkinson's disease
azithromycin,Treatment of Bacterial infections
hydrochlorothiazide,Treatment of Hypertension (high blood pressure)Treatment of Edema
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
erythromycin,Treatment of Bacterial infections
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
empagliflozin + linagliptin,Treatment of Type 2 diabetes mellitus
diosmin + hesperidin, Varicose veins
fluticasone furoate,Treatment of Sneezing and runny nose due to allergies
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
loperamide, Diarrhea
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
camylofin + paracetamol,Treatment of Abdominal pain
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
acyclovir, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
glimepiride,Treatment of Type 2 diabetes mellitus
ambroxol + loratadine, Cough
choline salicylate + lidocaine,Treatment of Mouth ulcers
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
azelaic acid,Treatment of Acne
aceclofenac + rabeprazole, Pain relief
atenolol,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
azithromycin,Treatment of Bacterial eye infections
azithromycin,Treatment of Bacterial infections
ambroxol + guaifenesin + menthol + terbutaline, Cough
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
ambroxol + pseudoephedrine + chlorpheniramine maleate, Common cold
s-amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
guaifenesin + terbutaline + bromhexine,Treatment of Cough with mucus
nitroglycerin,Treatment of Angina (heart-related chest pain)
atenolol,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
memantine, Alzheimer's disease
atorvastatin, High cholesterolPrevention of Heart attack
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
azithromycin,Treatment of Bacterial infections
azithromycin,Treatment of Bacterial infections
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
clotrimazole,Treatment of Fungal skin infections
aripiprazole, Schizophrenia Mania
methylcobalamin + pregabalin,Treatment of Neuropathic pain
alfuzosin,Treatment of Benign prostatic hyperplasia
azithromycin,Treatment of Bacterial infections
ambroxol + levocetirizine + montelukast,Treatment of Respiratory tract disorders associated with viscid mucus
amoxycillin + clavulanic acid,Treatment of Bacterial infections
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
azelaic acid,Treatment of Acne
pheniramine,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
sildenafil,Treatment of Erectile dysfunction
camylofin, Abdominal cramp
apremilast, Plaque psoriasis
clindamycin,Treatment of Bacterial infections
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
azithromycin,Treatment of Bacterial infections
levocloperastine,Treatment of Dry cough
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
amoxycillin + clavulanic acid,Treatment of Bacterial infections
cilnidipine + metoprolol succinate + telmisartan, Hypertension (high blood pressure)
amoxycillin,Treatment of Bacterial infections
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
atorvastatin, High cholesterolPrevention of Heart attack
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
carboxymethylcellulose,Treatment of Dry eyes
ambroxol,Treatment of Respiratory tract disorders associated with viscid mucus
atorvastatin + aspirin,Treatment of Prevention of heart attack and stroke
amoxycillin + clavulanic acid,Treatment of Bacterial infections
guaifenesin + terbutaline + bromhexine,Treatment of Cough with mucus
isotretinoin,Treatment of Acne
adapalene + clindamycin,Treatment of Acne
lidocaine + nifedipine,Treatment of Anal fissure
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
levocetirizine + phenylephrine + paracetamol,Treatment of Common cold
racecadotril,Treatment of Diarrhea
human insulin, Diabetes
aripiprazole, Schizophrenia Mania
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
azithromycin,Treatment of Bacterial infections
atorvastatin, High cholesterolPrevention of Heart attack
amoxycillin + clavulanic acid + lactobacillus, Bacterial infections
aceclofenac + paracetamol + serratiopeptidase, Pain relief
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
acyclovir, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
ticagrelor, Prevention of heart attack and stroke
acenocoumarol,Treatment and prevention of Blood clots
atorvastatin, High cholesterolPrevention of Heart attack
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
sulbutiamine, Fatigue Alzheimer's disease
apixaban,Treatment and prevention of Blood clots
carboxymethylcellulose,Treatment of Dry eyes
drotaverine + aceclofenac,Treatment of Abdominal pain
ketorolac + moxifloxacin,Treatment of Bacterial eye infections
ranitidine,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
ketoconazole, Fungal skin infections
amitriptyline + methylcobalamin, Neuropathic pain
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
alendronic acid + vitamin d, Osteoporosis
atorvastatin, High cholesterolPrevention of Heart attack
hydroxypropylmethylcellulose, Dry eyes
ciprofloxacin,Treatment of Bacterial infections
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
desonide, Skin conditions with inflammation & itching
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
cetirizine,Treatment of Allergic conditions
insulin glulisine, Diabetes
sodium hyaluronate,Treatment of Dry eyes
naphazoline + chlorpheniramine maleate + hydroxypropylmethylcellulose + zinc,Treatment of Allergic eye disease
acamprosate, Alcohol addiction
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
adapalene + clindamycin,Treatment of Acne
ketorolac, Post-operative eye pain and inflammation
ketorolac + olopatadine,Treatment of Allergic conjunctivitis
choline fenofibrate, High cholesterol
amoxycillin + clavulanic acid,Treatment of Bacterial infections
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
aripiprazole, Schizophrenia Mania
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
aceclofenac + paracetamol, Pain relief
bromhexine + guaifenesin + menthol + terbutaline,Treatment of Cough
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
alfuzosin + dutasteride,Treatment of Benign prostatic hyperplasia
anastrozole, Breast cancer
acyclovir, Herpes labialis
atropine,Treatment of MyopiaTreatment of Uveitis
testosterone,Treatment of Male hypogonadism
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
alfacalcidol,Treatment of Vitamin D deficiency
empagliflozin + linagliptin,Treatment of Type 2 diabetes mellitus
moxifloxacin + dexamethasone,Treatment of Bacterial eye infections
cilnidipine + metoprolol succinate + telmisartan, Hypertension (high blood pressure)
ornidazole + diloxanide, Diarrhea Dysentery
losartan + amlodipine, Hypertension (high blood pressure)
amorolfine, Fungal nail infections
amitriptyline + methylcobalamin, Neuropathic pain
prochlorperazine,Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety
ambroxol,Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus
sacubitril + valsartan,Treatment of Heart failure
donepezil + memantine, Alzheimer's disease
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
s-amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
erythromycin,Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections
albumin, Short term fluid replacement after trauma
apixaban,Treatment and prevention of Blood clots
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
flupenthixol, Schizophrenia Depression Bipolar disorder
doxylamine + vitamin b + l-methyl folate calcium + methylcobalamin, Nausea and vomiting in pregnancy
nitroglycerin,Treatment of Angina (heart-related chest pain)
dicyclomine + mefenamic acid,Treatment of Menstrual painTreatment of Abdominal cramp
azithromycin,Treatment of Bacterial infections
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
aceclofenac, Pain relief
aceclofenac + paracetamol + serratiopeptidase, Pain relief
acenocoumarol,Treatment and prevention of Blood clots
aprepitant + aprepitant, Nausea and vomiting due to chemotherapy
minoxidil,Treatment of Hair loss
adapalene + clindamycin,Treatment of Acne
aceclofenac + paracetamol, Pain relief
brinzolamide, Glaucoma Ocular hypertension
amorolfine, Fungal nail infections
lidocaine + metronidazole + sucralfate,Treatment of Anal fissure
fluconazole,Treatment of Fungal infections
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
azithromycin,Treatment of Bacterial infections
aceclofenac + paracetamol, Pain relief
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
aripiprazole, Schizophrenia Mania
azithromycin,Treatment of Bacterial infections
diloxanide, Worm infections Intestinal amoebiasis
aripiprazole, Schizophrenia Mania
isotretinoin,Treatment of Acne
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
ampicillin + dicloxacillin,Treatment of Bacterial infections
donepezil, Alzheimer's disease
azathioprine, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
melatonin,Treatment of InsomniaTreatment of Jet lag
albendazole,Treatment of Parasitic infections
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
amitriptyline + pantoprazole, Acidity Heartburn Anxiety
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
azithromycin,Treatment of Bacterial infections
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
spironolactone, Hypertension (high blood pressure) Edema Low potassium Heart failure
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
aceclofenac + serratiopeptidase, Pain relief
alfuzosin + dutasteride,Treatment of Benign prostatic hyperplasia
aceclofenac, Pain relief
acitretin, Psoriasis
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
adapalene + clindamycin,Treatment of Acne
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
benzoyl peroxide + clindamycin, Acne
apremilast, Plaque psoriasis
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
choline salicylate + lidocaine,Treatment of Mouth ulcers
camylofin + mefenamic acid, Abdominal cramp
dapsone, Acne
azelaic acid,Treatment of Acne
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
desonide, Skin conditions with inflammation & itching
ampicillin + cloxacillin,Treatment of Bacterial infections
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
levofloxacin,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
aceclofenac + paracetamol + chlorzoxazone,Treatment of Muscular pain
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
adapalene + clindamycin,Treatment of Acne
alcaftadine, Allergic eye disease
levocloperastine,Treatment of Dry cough
azithromycin,Treatment of Bacterial infections
azithromycin,Treatment of Bacterial infections
amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
chlorpheniramine maleate + paracetamol + phenylephrine + sodium citrate + menthol, Common cold
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
adapalene + benzoyl peroxide, Acne
glycopyrrolate, Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
atorvastatin + aspirin,Treatment of Prevention of heart attack and stroke
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
atorvastatin, High cholesterolPrevention of Heart attack
aceclofenac + paracetamol + serratiopeptidase, Pain relief
levosalbutamol + beclometasone, Asthma
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
azithromycin,Treatment of Bacterial infections
aripiprazole, Schizophrenia Mania
cefuroxime,Treatment of Bacterial infections
glycopyrrolate + formoterol + fluticasone propionate, General Anaesthesia Peptic ulcer disease
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
azithromycin,Treatment of Bacterial infections
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
human insulin, Diabetes
acamprosate, Alcohol addiction
aluminium hydroxide + milk of magnesia + simethicone + oxetacaine, Acidity Heartburn Stomach ulcers
ketoconazole + zinc pyrithione,Treatment of Fungal skin infectionsTreatment of Dandruff
camylofin, Abdominal cramp
carbimazole, Hyperthyroidism
amoxycillin + cloxacillin + lactobacillus, Bacterial infections
brimonidine + stabilized oxychloro,Treatment of Glaucoma
azithromycin,Treatment of Bacterial eye infections
sodium acid phosphate,Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism
glimepiride,Treatment of Type 2 diabetes mellitus
donepezil, Alzheimer's disease
aceclofenac + paracetamol, Pain relief
amantadine,Treatment of Parkinson's disease
melatonin,Treatment of InsomniaTreatment of Jet lag
azathioprine, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
hydrochlorothiazide,Treatment of Hypertension (high blood pressure)Treatment of Edema
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
ambroxol + guaifenesin + menthol + terbutaline, Cough
carboxymethylcellulose,Treatment of Dry eyes
ambroxol + levosalbutamol + guaifenesin,Acute Sore throatTreatment of Cough with mucus
epalrestat, Diabetic nerve pain
itraconazole,Treatment of Fungal infections
aspirin + glycine, Prevention of heart attack and stroke
amoxycillin + clavulanic acid,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
atorvastatin, High cholesterolPrevention of Heart attack
nimesulide + camylofin,Treatment of Abdominal cramp
amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
pregabalin + nortriptyline,Treatment of Neuropathic pain
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
atorvastatin, High cholesterolPrevention of Heart attack
azilsartan medoxomil, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
ambroxol + guaifenesin + menthol + terbutaline, Cough
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
azithromycin,Treatment of Bacterial infections
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
atorvastatin, High cholesterolPrevention of Heart attack
metronidazole,Treatment of Bacterial infectionsTreatment of Parasitic infections
alpha ketoanalogue,Treatment of Chronic kidney disease
atorvastatin, High cholesterolPrevention of Heart attack
eperisone + aceclofenac, Pain due to muscle spasm
amikacin, Bacterial infections
nepafenac,Treatment of Post-operative eye pain and inflammation
azelaic acid,Treatment of Acne
adapalene + clindamycin,Treatment of Acne
acotiamide,Treatment of Functional dyspepsia
aceclofenac + paracetamol, Pain relief
alpha ketoanalogue,Treatment of Chronic kidney disease
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
amorolfine, Fungal nail infections
racecadotril,Treatment of Diarrhea
epalrestat, Diabetic nerve pain
tranexamic acid + glutathione,Treatment of Melasma
metadoxine, Alcoholic fatty liver disease
aceclofenac, Pain relief
acetic acid, Ear infection
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
clindamycin + zinc acetate,Treatment of Acne
azithromycin,Treatment of Bacterial infections
apremilast, Plaque psoriasis
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
acitretin, Psoriasis
atorvastatin, High cholesterolPrevention of Heart attack
amikacin, Bacterial infections
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
rosuvastatin,Treatment of High cholesterol Prevention of heart attack and stroke
atorvastatin, High cholesterolPrevention of Heart attack
itraconazole,Treatment of Fungal infections
azathioprine, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
glimepiride,Treatment of Type 2 diabetes mellitus
levocetirizine + phenylephrine, Sneezing and runny nose due to allergies
apremilast, Plaque psoriasis
edaravone, Amyotrophic lateral sclerosis (ALS)
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
loratadine,Treatment of Allergic conditions
potassium chloride,Treatment of Potassium deficiency
atenolol + indapamide, Hypertension (high blood pressure)
adapalene + clindamycin,Treatment of Acne
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
clindamycin,Treatment of Bacterial infections
l-leucine + l-isoleucine, Nutritional deficiencies
fluconazole,Treatment of Fungal infections
aceclofenac + paracetamol + serratiopeptidase, Pain relief
atorvastatin, High cholesterolPrevention of Heart attack
ambrisentan, Pulmonary arterial hypertension (PAH)
fluticasone propionate + azelastine,Treatment of Sneezing and runny nose due to allergies
vitamin d,Treatment of Vitamin D deficiencyTreatment of Osteoporosis
acyclovir, Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
dextromethorphan hydrobromide, Dry cough
azithromycin,Treatment of Bacterial infections
azithromycin,Treatment of Bacterial infections
torasemide + amiloride, Edema
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
atorvastatin, High cholesterolPrevention of Heart attack
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
formoterol + glycopyrrolate, Chronic obstructive pulmonary disease (COPD)
benfotiamine + levo-carnitine + resveratrol + vitamin b, Nutritional deficiencies
ambroxol,Treatment of Respiratory tract disorders associated with viscid mucus
guaifenesin + terbutaline + bromhexine,Treatment of Cough with mucus
l-ornithine l-aspartate,Treatment of Liver  disease
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
aceclofenac + paracetamol, Pain relief
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
etofylline + salbutamol,Treatment of Asthma
adapalene, Acne
timolol + brimonidine,Treatment of Ocular hypertensionTreatment of Glaucoma
amitriptyline + propranolol, Migraine
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
